df	0.1	0.05
1	6.3138	12.7065
2	2.9200	4.3026
3	2.3534	3.1824
4	2.1319	2.7764
5	2.0150	2.5706
6	1.9432	2.4469
7	1.8946	2.3646
8	1.8595	2.3060
9	1.8331	2.2621
10	1.8124	2.2282
11	1.7959	2.2010
12	1.7823	2.1788
13	1.7709	2.1604
14	1.7613	2.1448
15	1.7530	2.1314
16	1.7459	2.1199
17	1.7396	2.1098
18	1.7341	2.1009
19	1.7291	2.0930
20	1.7247	2.0860
21	1.7207	2.0796
22	1.7172	2.0739
23	1.7139	2.0686
24	1.7109	2.0639
25	1.7081	2.0596
26	1.7056	2.0555
27	1.7033	2.0518
28	1.7011	2.0484
29	1.6991	2.0452
30	1.6973	2.0423
31	1.6955	2.0395
32	1.6939	2.0369
33	1.6924	2.0345
34	1.6909	2.0322
35	1.6896	2.0301
36	1.6883	2.0281
37	1.6871	2.0262
38	1.6859	2.0244
39	1.6849	2.0227
40	1.6839	2.0211
41	1.6829	2.0196
42	1.6820	2.0181
43	1.6811	2.0167
44	1.6802	2.0154
45	1.6794	2.0141
46	1.6787	2.0129
47	1.6779	2.0117
48	1.6772	2.0106
49	1.6766	2.0096
50	1.6759	2.0086
51	1.6753	2.0076
52	1.6747	2.0066
53	1.6741	2.0057
54	1.6736	2.0049
55	1.6730	2.0041
56	1.6725	2.0032
57	1.6720	2.0025
58	1.6715	2.0017
59	1.6711	2.0010
60	1.6706	2.0003
61	1.6702	1.9996
62	1.6698	1.9990
63	1.6694	1.9983
64	1.6690	1.9977
65	1.6686	1.9971
66	1.6683	1.9966
67	1.6679	1.9960
68	1.6676	1.9955
69	1.6673	1.9950
70	1.6669	1.9944
71	1.6666	1.9939
72	1.6663	1.9935
73	1.6660	1.9930
74	1.6657	1.9925
75	1.6654	1.9921
76	1.6652	1.9917
77	1.6649	1.9913
78	1.6646	1.9909
79	1.6644	1.9904
80	1.6641	1.9901
81	1.6639	1.9897
82	1.6636	1.9893
83	1.6634	1.9889
84	1.6632	1.9886
85	1.6630	1.9883
86	1.6628	1.9879
87	1.6626	1.9876
88	1.6623	1.9873
89	1.6622	1.9870
90	1.6620	1.9867
91	1.6618	1.9864
92	1.6616	1.9861
93	1.6614	1.9858
94	1.6612	1.9855
95	1.6610	1.9852
96	1.6609	1.9850
97	1.6607	1.9847
98	1.6606	1.9845
99	1.6604	1.9842
100	1.6602	1.9840
101	1.6601	1.9837
102	1.6599	1.9835
103	1.6598	1.9833
104	1.6596	1.9830
105	1.6595	1.9828
106	1.6593	1.9826
107	1.6592	1.9824
108	1.6591	1.9822
109	1.6589	1.9820
110	1.6588	1.9818
111	1.6587	1.9816
112	1.6586	1.9814
113	1.6585	1.9812
114	1.6583	1.9810
115	1.6582	1.9808
116	1.6581	1.9806
117	1.6580	1.9805
118	1.6579	1.9803
119	1.6578	1.9801
120	1.6577	1.9799
121	1.6575	1.9798
122	1.6574	1.9796
123	1.6573	1.9794
124	1.6572	1.9793
125	1.6571	1.9791
126	1.6570	1.9790
127	1.6570	1.9788
128	1.6568	1.9787
129	1.6568	1.9785
130	1.6567	1.9784
131	1.6566	1.9782
132	1.6565	1.9781
133	1.6564	1.9779
134	1.6563	1.9778
135	1.6562	1.9777
136	1.6561	1.9776
137	1.6561	1.9774
138	1.6560	1.9773
139	1.6559	1.9772
140	1.6558	1.9771
141	1.6557	1.9769
142	1.6557	1.9768
143	1.6556	1.9767
144	1.6555	1.9766
145	1.6554	1.9765
146	1.6554	1.9764
147	1.6553	1.9762
148	1.6552	1.9761
149	1.6551	1.9760
150	1.6551	1.9759
151	1.6550	1.9758
152	1.6549	1.9757
153	1.6549	1.9756
154	1.6548	1.9755
155	1.6547	1.9754
156	1.6547	1.9753
157	1.6546	1.9752
158	1.6546	1.9751
159	1.6545	1.9750
160	1.6544	1.9749
161	1.6544	1.9748
162	1.6543	1.9747
163	1.6543	1.9746
164	1.6542	1.9745
165	1.6542	1.9744
166	1.6541	1.9744
167	1.6540	1.9743
168	1.6540	1.9742
169	1.6539	1.9741
170	1.6539	1.9740
171	1.6538	1.9739
172	1.6537	1.9739
173	1.6537	1.9738
174	1.6537	1.9737
175	1.6536	1.9736
176	1.6536	1.9735
177	1.6535	1.9735
178	1.6535	1.9734
179	1.6534	1.9733
180	1.6534	1.9732
181	1.6533	1.9731
182	1.6533	1.9731
183	1.6532	1.9730
184	1.6532	1.9729
185	1.6531	1.9729
186	1.6531	1.9728
187	1.6531	1.9727
188	1.6530	1.9727
189	1.6529	1.9726
190	1.6529	1.9725
191	1.6529	1.9725
192	1.6528	1.9724
193	1.6528	1.9723
194	1.6528	1.9723
195	1.6527	1.9722
196	1.6527	1.9721
197	1.6526	1.9721
198	1.6526	1.9720
199	1.6525	1.9720
200	1.6525	1.9719